prodmetric_stream_key,deviceKey,start_time,end_time,good_count,reject_count,ideal_time,run_time,unplanned_stop_time,planned_stop_time,unplanned_stop_time,performance_impact_display_name,process_state_display_name,process_state_reason_display_name,job_display_name,part_display_name,shift_display_name,team_display_name
5552062,Line3,2025-01-29 19:10:14.3284760 -06:00,2025-01-29 19:13:19.6285480 -06:00,0,0,0,0,185.300072,0,185.300072,Unplanned Stop,Down,Security Alarm,Part D-4000,Part D,Second Shift,Team 2
5552060,Line3,2025-01-29 19:05:37.3369440 -06:00,2025-01-29 19:10:14.3284760 -06:00,96,0,157.36382190376355,276.991532,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
5552046,Line4,2025-01-29 19:00:00.0000000 -06:00,2025-01-29 19:02:07.0000000 -06:00,54,0,0,0,0,0,0,Not Scheduled,Meal/Break,Lunch,Part J-4000,Part J,Second Shift,Team 3
5552048,Line2,2025-01-29 19:00:00.0000000 -06:00,2025-01-29 19:01:34.0000000 -06:00,0,0,0,0,0,0,0,Not Scheduled,Meal/Break,Lunch,Part M-3000,Part M,Second Shift,Team 3
5552049,Line1,2025-01-29 19:00:00.0000000 -06:00,2025-01-29 19:01:52.0000000 -06:00,67,0,0,0,0,0,0,Not Scheduled,Meal/Break,Lunch,Part P-2000,Part P,Second Shift,Team 2
5552053,Line3,2025-01-29 19:00:00.0000000 -06:00,2025-01-29 19:05:37.3369440 -06:00,132,12,237.65764113137604,337.336944,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
5552047,Line2,2025-01-29 18:59:21.1845280 -06:00,2025-01-29 19:00:00.0000000 -06:00,0,0,0,0,38.815472,0,38.815472,Unplanned Stop,Down,Electrical Fault,Part M-3000,Part M,Second Shift,Team 3
5552039,Line4,2025-01-29 18:51:40.5108640 -06:00,2025-01-29 19:00:00.0000000 -06:00,187,19,327.9520000000003,499.489136,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5552028,Line3,2025-01-29 18:51:35.1856440 -06:00,2025-01-29 19:00:00.0000000 -06:00,178,21,327.8908119648617,504.814356,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
5552025,Line4,2025-01-29 18:48:49.3393490 -06:00,2025-01-29 18:51:40.5108640 -06:00,0,0,0,0,171.171515,0,171.171515,Unplanned Stop,Down,Electrical Fault,Part J-4000,Part J,Second Shift,Team 3
5552021,Line3,2025-01-29 18:48:39.7158850 -06:00,2025-01-29 18:51:35.1856440 -06:00,0,0,0,0,175.469759,0,175.469759,Unplanned Stop,Down,Jam,Part D-4000,Part D,Second Shift,Team 2
5552034,Line1,2025-01-29 18:47:50.6706630 -06:00,2025-01-29 19:00:00.0000000 -06:00,428,7,733.6383749999968,729.329337,0,0,0,Run,Running,Running Normally,Part P-2000,Part P,Second Shift,Team 2
5552040,Line2,2025-01-29 18:47:32.0827330 -06:00,2025-01-29 18:59:21.1845280 -06:00,239,15,441.0138499999983,709.101795,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5552017,Line3,2025-01-29 18:47:16.0000000 -06:00,2025-01-29 18:48:39.7158850 -06:00,15,1,25.318968949029312,83.715885,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
