quality_stream_key,deviceKey,count,reject_reason_display_name,prodmetric_stream_key
1771948,Line 4,6,Detected by Max WIP,5468380
1772152,Line 4,11,Reject,5468383
1772153,Line 4,9,Detected by Max WIP,5468383
1772154,Line 4,11,Detected by Max WIP,5468386
1772155,Line 4,9,Reject,5468386
1772167,Line 4,9,Detected by Max WIP,5468471
1772173,Line 4,8,Reject,5468477
1772188,Line 4,5,Reject,5468511
1772189,Line 4,22,Detected by Max WIP,5468511
1772190,Line 4,12,Reject,5468516
1772202,Line 4,19,Detected by Max WIP,5468554
1772220,Line 4,9,Detected by Max WIP,5468598
1772221,Line 4,18,Detected by Max WIP,5468602
1772222,Line 4,1,Reject,5468602
1772223,Line 4,7,Detected by Max WIP,5468608
1772237,Line 4,10,Detected by Max WIP,5468638
1772238,Line 4,8,Reject,5468638
1772250,Line 4,16,Reject,5468813
1772253,Line 4,14,Reject,5468816
1772254,Line 4,8,Detected by Max WIP,5468816
1772267,Line 4,28,Reject,5468851
1772268,Line 4,9,Detected by Max WIP,5468851
1772270,Line 4,17,Reject,5468855
1772271,Line 4,20,Detected by Max WIP,5468855
1772283,Line 4,16,Detected by Max WIP,5468964
1772284,Line 4,15,Reject,5468964
1772285,Line 4,9,Detected by Max WIP,5468976
1772286,Line 4,12,Reject,5468976
1772302,Line 4,10,Reject,5469003
1772303,Line 4,7,Detected by Max WIP,5469003
1772308,Line 4,27,Detected by Max WIP,5469016
1772320,Line 4,4,Detected by Max WIP,5469124
1772323,Line 4,13,Detected by Max WIP,5469131
1772337,Line 4,5,Detected by Max WIP,5469170
1772343,Line 4,3,Reject,5469177
1772461,Line 4,16,Detected by Max WIP,5469282
1772462,Line 4,8,Reject,5469282
1772477,Line 4,8,Reject,5469325
1772494,Line 4,11,Reject,5469365
1772495,Line 4,5,Detected by Max WIP,5469365
1772498,Line 4,8,Detected by Max WIP,5469371
1772499,Line 4,3,Reject,5469371
1772512,Line 4,11,Detected by Max WIP,5469407
1772528,Line 4,4,Reject,5469451
1772529,Line 4,24,Detected by Max WIP,5469451
1772532,Line 4,5,Detected by Max WIP,5469462
1772541,Line 4,11,Reject,5469633
1772543,Line 4,7,Detected by Max WIP,5469639
1772544,Line 4,2,Reject,5469639
1772545,Line 4,11,Reject,5469643
1772546,Line 4,13,Detected by Max WIP,5469643
1772674,Line 4,3,Detected by Max WIP,5469720
1772675,Line 4,8,Reject,5469720
1772677,Line 4,16,Detected by Max WIP,5469723
1772678,Line 4,1,Reject,5469723
1772698,Line 4,4,Reject,5469768
1772699,Line 4,5,Detected by Max WIP,5469768
1772716,Line 4,14,Reject,5469810
1772717,Line 4,13,Detected by Max WIP,5469810
1772760,Line 4,4,Reject,5470064
1772761,Line 4,15,Detected by Max WIP,5470064
1772764,Line 4,2,Detected by Max WIP,5470072
1772776,Line 4,14,Reject,5470105
1772777,Line 4,4,Detected by Max WIP,5470105
1772794,Line 4,6,Detected by Max WIP,5470151
1753666,Line 3,7,Cosmetic Defect,5431965
1753667,Line 3,10,Reject,5431965
1753668,Line 3,16,Out of Spec,5431965
1753669,Line 3,8,Overweight,5431965
1753786,Line 3,18,Cosmetic Defect,5432211
1753789,Line 1,6,Detected by Max WIP,5432216
1753790,Line 1,3,Out of Spec,5432216
1753962,Line 1,4,xyz,5432530
1753963,Line 1,2,Bad Packaging,5432530
1753964,Line 1,5,Reject,5432530
1753977,Line 1,2,Detected by Max WIP,5432573
1753984,Line 3,2,Underweight,5432580
1753985,Line 3,11,Out of Spec,5432580
1753986,Line 3,11,Detected by Max WIP,5432580
1754019,Line 1,2,Scratch,5432613
1754033,Line 3,3,Detected by Max WIP,5432635
1754171,Line 3,8,Detected by Max WIP,5432904
1754172,Line 3,2,Overweight,5432904
1754173,Line 3,13,Scratch,5432904
1754184,Line 1,13,Out of Spec,5432967
1754185,Line 1,5,Cosmetic Defect,5432967
1754186,Line 1,9,Bad Packaging,5432967
1754411,Line 3,3,Out of Spec,5433374
1754425,Line 3,3,Detected by Max WIP,5433395
1754426,Line 3,2,Cosmetic Defect,5433395
1754449,Line 1,8,Overweight,5433413
1754450,Line 1,8,Out of Spec,5433413
1754451,Line 1,9,Underweight,5433413
1754606,Line 1,6,Detected by Max WIP,5433645
1754611,Line 1,10,Out of Spec,5433677
1754612,Line 1,7,Reject,5433677
1754623,Line 1,1,Bad Packaging,5433732
1754624,Line 1,4,Squished,5433732
1754635,Line 3,10,Detected by Max WIP,5433741
1754636,Line 3,11,Out of Spec,5433741
1754661,Line 3,5,Scratch,5433762
1754662,Line 3,5,Cosmetic Defect,5433762
1754678,Line 3,1,Detected by Max WIP,5433810
1754853,Line 1,7,Cosmetic Defect,5434088
1754854,Line 1,1,Bad Packaging,5434088
1754998,Line 3,3,Cosmetic Defect,5434407
1754999,Line 3,7,Reject,5434407
1755000,Line 3,9,Underweight,5434407
1755060,Line 1,4,Overweight,5434514
1755061,Line 1,7,foreign particle,5434514
1755062,Line 1,4,Scratch,5434514
1755173,Line 3,7,Reject,5434839
1755453,Line 1,5,xyz,5435331
1755538,Line 3,5,Overweight,5435554
1755539,Line 3,3,Cosmetic Defect,5435554
1755593,Line 1,9,Bad Packaging,5435680
1755594,Line 1,8,Scratch,5435680
1755627,Line 1,3,Squished,5435725
1755628,Line 1,6,Cosmetic Defect,5435725
1755629,Line 1,6,Out of Spec,5435725
1755722,Line 1,2,Scratch,5436013
1755723,Line 1,5,Detected by Max WIP,5436013
1755724,Line 1,10,Bad Packaging,5436013
1755839,Line 3,13,Detected by Max WIP,5436219
1755840,Line 3,2,Out of Spec,5436219
1755885,Line 3,2,Underweight,5436255
1755912,Line 3,7,Overweight,5436277
1756039,Line 3,5,Scratch,5436543
1756040,Line 3,4,Overweight,5436543
1756041,Line 3,1,Cosmetic Defect,5436543
1756120,Line 1,6,xyz,5436755
1756121,Line 1,3,Squished,5436755
1756122,Line 1,2,foreign particle,5436755
1756149,Line 1,3,Detected by Max WIP,5436781
1756150,Line 1,7,xyz,5436781
1756151,Line 1,10,Cosmetic Defect,5436781
1756152,Line 1,4,Underweight,5436781
1756300,Line 3,1,Out of Spec,5436992
1756301,Line 3,4,Cosmetic Defect,5436992
1747748,Line 3,16,Cosmetic Defect,5420547
1747773,Line 3,12,Detected by Max WIP,5420623
1747812,Line 3,7,Underweight,5420695
1747813,Line 3,1,Cosmetic Defect,5420695
1747834,Line 1,6,Reject,5420728
1747835,Line 1,4,Cosmetic Defect,5420728
1747867,Line 1,4,Scratch,5420846
1747868,Line 1,2,Squished,5420846
1748076,Line 1,4,Squished,5421268
1748095,Line 3,12,Cosmetic Defect,5421307
1748096,Line 3,2,Overweight,5421307
1748271,Line 1,6,Overweight,5421702
1748272,Line 1,4,Cosmetic Defect,5421702
1748388,Line 3,3,Cosmetic Defect,5421936
1748389,Line 3,11,Out of Spec,5421936
1748404,Line 3,2,Scratch,5421967
1748412,Line 3,9,Detected by Max WIP,5421987
1748413,Line 3,7,Reject,5421987
1748441,Line 1,9,Squished,5422035
1748442,Line 1,11,Underweight,5422035
1748443,Line 1,14,Scratch,5422035
1748461,Line 1,2,Underweight,5422085
1748462,Line 1,6,Reject,5422085
1748552,Line 3,7,Cosmetic Defect,5422287
1748599,Line 1,4,Bad Packaging,5422424
1748600,Line 1,1,Underweight,5422424
1748601,Line 1,3,Overweight,5422424
1748602,Line 1,4,Reject,5422424
1748603,Line 1,6,Cosmetic Defect,5422424
1748614,Line 1,13,Out of Spec,5422474
1748663,Line 1,13,Overweight,5422548
1748664,Line 1,1,Out of Spec,5422548
1748703,Line 3,8,Reject,5422614
1748704,Line 3,10,Underweight,5422614
1748724,Line 3,2,Overweight,5422649
1748725,Line 3,7,Underweight,5422649
1748755,Line 3,1,Reject,5422672
1748815,Line 1,17,Scratch,5422832
1748816,Line 1,8,Overweight,5422832
1748848,Line 1,6,Reject,5422892
1748944,Line 1,2,foreign particle,5423107
1748945,Line 1,6,Reject,5423107
1749291,Line 1,4,Out of Spec,5423623
1749472,Line 1,18,xyz,5424016
1749482,Line 3,26,Cosmetic Defect,5424018
1749483,Line 3,5,Detected by Max WIP,5424018
1749484,Line 3,4,Underweight,5424018
1749668,Line 3,4,Detected by Max WIP,5424327
1749669,Line 3,1,Scratch,5424327
1749715,Line 3,1,Reject,5424352
1749914,Line 1,4,Scratch,5424842
1749915,Line 1,3,Bad Packaging,5424842
1749977,Line 3,1,Reject,5424977
1749978,Line 3,1,Detected by Max WIP,5424977
1749995,Line 3,24,Out of Spec,5424994
1749996,Line 3,8,Cosmetic Defect,5424994
1750029,Line 3,9,Out of Spec,5425021
1750030,Line 3,7,Detected by Max WIP,5425021
1750108,Line 1,1,Bad Packaging,5425237
1750109,Line 1,2,Scratch,5425237
1750120,Line 3,5,Underweight,5425267
1750121,Line 3,7,Out of Spec,5425267
1750153,Line 1,3,Squished,5425353
1750154,Line 1,2,foreign particle,5425353
1750321,Line 3,8,Overweight,5425588
1750322,Line 3,1,Scratch,5425588
1750323,Line 3,9,Reject,5425588
1750361,Line 1,7,Cosmetic Defect,5425636
